id,name,slogan,description,category,default_price
3253,"Mustafa Heels","Sapiente quo veritatis est pariatur reiciendis totam.","Dicta nobis rerum veritatis iusto exercitationem corporis voluptas. Rem suscipit dignissimos quasi dolorem enim atque. Autem quia rerum nobis libero dolorum qui et minus.","Heels",913
3254,"Godfrey Coat","Quis officiis impedit occaecati deserunt et nulla rerum suscipit.","In ipsum sit corrupti. Ullam dolor similique. Eveniet reprehenderit dolorem voluptate inventore dolores dolorem itaque temporibus ut. A illum perferendis vitae eum. Occaecati non ea qui ut et et quis. Rem et doloremque occaecati voluptatem consequatur accusamus molestiae quos.","Coat",639
3255,"Kieran Shirt","Voluptates laborum repudiandae sit placeat est et enim non.","Quia recusandae inventore totam ipsam vero. Doloribus explicabo molestias quasi quod. Quisquam autem quam nisi. Dolor nostrum aut eum nesciunt delectus qui. Ut cumque ad omnis alias ullam a.","Shirt",193
3256,"Zelma 0 Tank Top","Nostrum qui quis.","Sit non est dolorum quae et. Repudiandae fugit dolor ex voluptas. Est voluptas dolorem ducimus.","Tank Top",733
3257,"Esperanza Backpack","Error molestiae excepturi quasi pariatur.","Vero suscipit omnis velit dolor dolores quia facere. Accusantium enim cumque nam cum magnam laudantium. Dolor neque rerum.","Backpack",449
3258,"Alverta Backpack","Suscipit animi quas qui qui nostrum magnam.","Sapiente aut velit porro aut numquam libero. Voluptates sed consequatur. Nostrum accusantium maiores tempore fuga est ipsum sed in.","Backpack",977
3259,"Khalil Shirt","Explicabo recusandae ipsum sit aut qui quia exercitationem.","Ducimus dicta quia alias nulla sed ut totam. Vero vel sed consequatur voluptatem nihil quisquam autem in. Tempore non reiciendis. Sequi atque temporibus qui quas maiores magnam. Non reprehenderit eligendi fugiat dolor tempore quia laudantium voluptates. Ut suscipit velit.","Shirt",623
3260,"Kaci Jacket","Voluptas rerum numquam qui quidem molestias nisi porro harum.","Voluptatem expedita ex iusto consequatur sed nulla dolore corporis. Saepe aut ab et sed cum. Qui rerum aut et at qui modi tenetur et. Inventore rerum sit optio quia dolores sed.","Jacket",216
3261,"Rowan Jacket","Vero dignissimos molestiae voluptatum tempore rerum.","Culpa in non quia soluta modi debitis. Alias quia quam. Numquam laudantium quasi fugiat repellendus. Iusto consectetur at. Rem sapiente nihil debitis eaque aut placeat reprehenderit provident.","Jacket",814
3262,"Gudrun Sweatpants","Possimus corporis et.","Eveniet atque et consequatur sunt hic omnis molestiae. Ut est et sapiente. Dolorem consequatur expedita a similique qui odio.","Sweatpants",9
3263,"Omer Romper","Doloremque eos quaerat placeat deserunt hic.","Sed explicabo aut non adipisci deleniti. Dolor aut quis fugiat et quo magni pariatur. Ex tempora sed sed qui ducimus amet deserunt. Rerum qui magni fugit ex earum qui quia minima voluptas.","Romper",793
3264,"Jaime Socks","Natus ipsam fuga ut.","Facere facilis asperiores. Adipisci repellat deserunt veritatis velit tenetur. Nam ea atque est ad doloremque. Quia et nihil adipisci natus dolores. Blanditiis nostrum autem sunt quisquam iusto nemo quos veritatis amet. Et officiis a numquam aut ut illo molestiae eum autem.","Socks",885
3265,"Giovanny Skirt","Voluptates dolores et aliquam odio ratione iure non cumque sunt.","Facilis excepturi atque exercitationem odit. Quam soluta cum. Cumque distinctio soluta recusandae quas dolor. Voluptatem sequi vero tempore quidem. Accusantium beatae voluptas doloribus autem dolores tempore molestiae illum accusantium. Quisquam omnis temporibus debitis accusantium quibusdam commodi illo consequuntur eius.","Skirt",237
3266,"Lottie Sweatpants","Earum commodi id natus.","Et nihil qui. Dicta voluptatum suscipit aut et vel omnis labore commodi. Minima harum numquam ea. Est occaecati distinctio facere deleniti exercitationem.","Sweatpants",740
3267,"Alisa Socks","Voluptatem accusamus rerum sed ut.","Blanditiis harum recusandae aliquid autem. Saepe cumque facere. Doloremque cupiditate repellendus consequatur quo autem omnis. Architecto iure dolore mollitia mollitia quia. Quia voluptas enim impedit dolorem soluta. Facilis sit aperiam.","Socks",608
3268,"Myah Sunglasses","Laudantium sed dolor impedit aut maiores modi accusantium est accusamus.","Cumque laudantium nemo quia. Minima aspernatur alias impedit non veniam aut asperiores quia. Ducimus impedit enim ipsam.","Sunglasses",18
3269,"Filiberto Jacket","Assumenda doloribus quae.","Rem nisi dolor ad sit neque et vel enim voluptatem. Aut itaque optio voluptate ipsa placeat provident dignissimos eligendi corrupti. Minima omnis qui. Ratione inventore et dolorem non explicabo totam molestiae voluptas. Dicta id nobis dolorem aperiam dolorum aut commodi. Nobis unde ullam exercitationem voluptatibus nostrum nesciunt non qui nesciunt.","Jacket",450
3270,"Dejuan Hat","Libero aliquid fugiat commodi quis.","Quis nemo qui qui facere repudiandae vel. Consequatur quia tenetur est sunt quos tempore voluptates hic fugiat. Quas et commodi est natus qui non. Quidem dicta nulla laboriosam doloremque quo. Aspernatur ab laudantium accusamus aut ut quidem. Voluptas adipisci vel maxime est vero aut ullam itaque voluptates.","Hat",758
3271,"Michel Shirt","Optio saepe aspernatur aut officiis voluptatum odit veritatis maiores.","Voluptate saepe itaque et iste minima inventore ipsum. Et incidunt unde sed vel neque repellendus. Accusamus voluptas cum libero eligendi dignissimos explicabo ut hic quos. Earum odit blanditiis aliquid ut commodi possimus et.","Shirt",790
3272,"Lelia 50 Sweater","Dolorem temporibus aliquam aut.","Ut eos esse quis et nostrum. Eos est ab itaque. Similique sint consequatur incidunt et.","Sweater",870
3273,"Jeffrey Shirt","Commodi vitae aperiam magni.","Nihil illum modi ut. Accusamus saepe qui distinctio ea voluptas. Distinctio ab exercitationem cum qui sed et corrupti excepturi. Quasi quisquam fuga eveniet atque eum ex et et. Vitae quam ut aut impedit itaque officiis.","Shirt",655
3274,"Adelbert Shoes","Assumenda impedit quisquam sint cumque doloribus.","Aut cum eligendi. Nostrum quam alias et rerum quo. Porro natus aut expedita atque repellat adipisci laudantium adipisci repellat. Magnam facilis omnis illo rerum illum sed.","Shoes",617
3275,"The Dandre Pants","Sapiente veniam iure.","Repellat aliquid expedita in officia nam corrupti aut ut nostrum. Sunt voluptas amet tempora et. Id totam dolore totam sunt perspiciatis quas accusantium at facere.","Pants",495
3276,"Trey Coat","Tempore unde nam est corporis omnis sed eum.","Veritatis ea voluptas et. Eligendi nam similique. Occaecati eum deleniti quo. Molestias voluptatem repellendus. Omnis iste fugit voluptas iusto ea reiciendis qui commodi recusandae.","Coat",949
3277,"Ewald Dress","A amet reprehenderit assumenda corporis dignissimos aspernatur qui non enim.","Illo rerum architecto. Porro deserunt impedit eligendi cupiditate dolores vitae perspiciatis. Optio totam molestiae eaque dolore aliquam nemo ut enim ut. Commodi consequuntur cupiditate.","Dress",821
3278,"Bettie Hoodie","Debitis debitis repellat.","Voluptates fugiat temporibus quia occaecati. Molestiae accusamus aut aut mollitia. Et qui labore. Dicta velit quia consequatur nemo temporibus et voluptas. Omnis odio ut qui deleniti. Ut ratione numquam aliquam assumenda dolorum.","Hoodie",316
3279,"Mallory Backpack","Atque quod ducimus deleniti animi non.","Delectus repudiandae occaecati quam. In dolores ipsam omnis id. Distinctio maxime commodi qui est earum impedit cupiditate et. Qui id fugiat mollitia cupiditate. Amet qui rerum aut nulla ullam. Nemo et rerum.","Backpack",492
3280,"Flo Slacks","Nesciunt dolores veritatis dolor.","Earum officia praesentium expedita cumque. Est distinctio temporibus fugit ea iure ad minus. Magni animi repellendus possimus iste. Consequuntur tenetur officia porro dolores excepturi dolores tenetur ratione. Sed debitis error et consectetur itaque in et. Maxime culpa laudantium dicta consequatur sed iusto eveniet dolorem nobis.","Slacks",58
3281,"Roxane Hat","Vel velit sit sint cupiditate provident impedit.","Rerum aut minima nemo. Enim culpa ipsa quia. Autem error sed porro et impedit ipsam omnis rem quibusdam. Tenetur alias dolorem officiis et.","Hat",436
3282,"Kellie Cap","Ut veniam totam vero pariatur nisi.","Saepe labore sit dolorum similique est officia aut nihil. Et et aut vel vel repellendus rerum. Magnam ipsum qui. Et quis fugit corrupti deserunt est minus. Temporibus ipsam sint dolores omnis possimus expedita. Soluta qui nam provident perspiciatis qui veniam illum.","Cap",866
3283,"Dereck Cap","Qui excepturi repudiandae.","Ut repellendus rem debitis officiis nam. Sit quis aliquid atque est sit. Qui occaecati mollitia molestias minima voluptate optio animi illo voluptas. Eligendi non eos rerum omnis et vel ut nostrum. Suscipit cupiditate facere ut neque qui officiis ut. Cupiditate minus est vel ducimus vel.","Cap",569
3284,"Pascale Hoodie","Quasi fuga voluptatem ducimus natus sequi et.","Vel necessitatibus et molestiae autem beatae sunt incidunt. Velit a esse et modi voluptate modi labore quae. Et deleniti autem nobis quia pariatur sed. Iure debitis vero beatae. Aliquam deserunt quisquam dolorem sapiente sequi quisquam. Animi aut eaque impedit et.","Hoodie",129
3285,"Kenyon Backpack","Ea aut similique fugiat aliquid.","Commodi sed omnis maxime sunt qui at. Quam repellat cum. Facere quasi quibusdam ipsam quia ut.","Backpack",423
3286,"Name Sweatpants","Voluptatem sint fuga consequatur ex rerum repellat consectetur et.","Quam dicta aperiam ut consequuntur perspiciatis nobis labore quae est. Numquam ea laborum reiciendis reprehenderit architecto. Rerum labore et sint atque. Perspiciatis omnis et quas et. Qui ratione error aspernatur reprehenderit. Animi ut rerum quas perspiciatis enim non.","Sweatpants",224
3287,"Bernhard Socks","Voluptatem ut similique quis tenetur esse.","Odit deserunt libero iusto non sint ullam qui. Qui quibusdam et rerum sequi. Et ea minima nemo explicabo. Similique eligendi et dolor est aut eius.","Socks",402
3288,"Kianna Coat","Aut ut consequatur amet dicta sunt qui ullam cum omnis.","Praesentium exercitationem qui dolorem corrupti aut consequuntur consequatur. Sed magni nam tempore. Id iure consequatur architecto voluptate sunt omnis et eius. Necessitatibus ea adipisci voluptas aut totam delectus sint eveniet. Soluta in deleniti soluta consequatur omnis hic debitis. Reprehenderit ea non dolor quaerat adipisci quod excepturi voluptas quia.","Coat",268
3289,"Noah Suit","Praesentium expedita eius eum aut illum quia dolores error consequatur.","Quod et debitis libero doloremque impedit non sed in. Id doloremque est sint. Beatae atque ab necessitatibus est.","Suit",571
3290,"Cathy Sweatpants","Non ullam voluptates totam.","Fugit numquam incidunt praesentium quis rem. Porro atque assumenda sit aut expedita sed velit ipsum. Ut ratione doloremque.","Sweatpants",758
3291,"Alana Shirt","In minima recusandae.","Nobis sed ex. Deleniti et ullam totam mollitia quaerat. Facilis sit et incidunt quis consequatur nam omnis error. Ut amet aperiam ut vel sequi voluptatem earum mollitia delectus.","Shirt",680
3292,"Amber Socks","Asperiores placeat quis id amet provident pariatur.","Quas molestiae eius sapiente aliquid fugiat. Neque at similique porro illo unde. Porro rem aut non eum quia. Consequatur nemo eius. Id id nostrum ipsum excepturi eum ut temporibus esse nemo. Dolorem assumenda est dolorum voluptatem suscipit non velit enim ea.","Socks",492
3293,"John Sweatpants","Sed est aut magnam.","Maiores quis et. Cum molestiae et est libero vero molestiae. Et et et possimus et. In totam non error ipsam officiis. Et quaerat repellat harum.","Sweatpants",402
3294,"Esta Sweatpants","Ullam possimus minus laudantium libero asperiores.","Quae error doloremque tempora est dolorem voluptatem perferendis commodi. Quis repudiandae autem sint consequuntur doloremque quis et adipisci. Dolor accusantium excepturi fugit. Ducimus quasi molestias dolores et molestiae blanditiis. Quidem dignissimos voluptatem molestiae ea. Mollitia ut aut.","Sweatpants",850
3295,"Laurie 0 Shoes","Dolorem sint voluptatem ea consequatur non sed omnis vel quidem.","Rerum et occaecati sit quaerat illo voluptas culpa. Illo quo nobis natus suscipit. Officia voluptatibus temporibus excepturi sequi. Fugit occaecati iusto numquam. Quos ut nostrum similique et provident itaque neque. Provident voluptas dolores sapiente officia.","Shoes",973
3296,"Dominique 50 Skirt","Nesciunt suscipit velit soluta sapiente animi quis tenetur omnis.","Quam sunt occaecati qui. Ut aut suscipit itaque non est qui esse sunt. Recusandae perspiciatis debitis repellendus rerum minima sit.","Skirt",877
3297,"Maida Dress","Soluta libero corrupti excepturi natus nisi quasi unde omnis.","In ut alias fugiat hic amet. Id est molestiae eos molestias voluptatem dignissimos velit. Fuga et quasi numquam delectus. Aut veniam adipisci vero quos.","Dress",412
3298,"Rosalee Slacks","Quia quia quod quasi.","Ea fugit qui repellendus in nihil dolores et. Rerum quae inventore totam velit nihil libero ut adipisci. Quae aperiam ea in enim temporibus laborum incidunt ad. Quis ut ipsa voluptatem repellendus. Nemo velit placeat dolor.","Slacks",747
3299,"Marjolaine 50 Dress","Beatae aut dolorem.","Debitis accusantium cum nostrum sint adipisci minus distinctio esse. Ab quidem reprehenderit unde et et ipsa explicabo ut laborum. Est laborum error rerum dolorum consequatur quia. Consequatur id ut inventore et vel aliquid quia illum.","Dress",796
3300,"Chelsie Backpack","Adipisci harum dolor rerum dolorum iure fugiat eos.","Eum unde excepturi odit adipisci repudiandae atque veniam ut quis. Consequuntur nam excepturi exercitationem. Et rem deserunt voluptatum. Aut accusantium veniam quidem unde aut. Fugit exercitationem alias. Rerum voluptas velit voluptas minus officiis et.","Backpack",27
3301,"Michale Backpack","Necessitatibus sit molestiae repudiandae voluptas ratione corrupti et natus.","Et architecto est. Accusantium reprehenderit porro impedit incidunt aspernatur quia est temporibus. Recusandae adipisci reprehenderit excepturi debitis sint dolores cumque excepturi dignissimos. Eos quia illo doloremque. Assumenda nihil nihil quis iure. Qui cumque assumenda.","Backpack",867
3302,"Bridgette Coat","Sed dolor quis aperiam voluptate dolorum aut iusto.","Vel est quaerat aspernatur ipsa repellat. Voluptas nisi placeat magnam officiis consectetur quidem velit non quis. Et dolores consequatur in ut.","Coat",706
3303,"Roselyn Skirt","Aut nihil laboriosam cumque.","Omnis voluptate quam. Maiores hic ex neque dignissimos aut sit pariatur quasi dignissimos. Dolorum ea quia. Et ut ratione voluptas autem voluptas esse. Ducimus qui veniam.","Skirt",656
3304,"Demond Heels","In laudantium odio nam dolore.","Nostrum vero aut inventore omnis iusto deserunt nulla facilis error. Ipsum deserunt consequuntur culpa eius. Autem quod doloribus et vero pariatur pariatur dolorem sequi et.","Heels",719
3305,"The Jayde Trousers","Eligendi qui sint.","Labore et sit a ea aliquam assumenda. Temporibus alias rerum aliquam qui cumque doloremque quas. Beatae ab officia aut excepturi tempora eaque consequatur. Ullam voluptate quo pariatur autem aliquam aut reprehenderit deleniti. Itaque excepturi voluptatem nisi saepe accusantium.","Trousers",609
